codmes,id_persona,codtarget,cem,ingreso_neto,linea_ofrecida,margen
201901,16836,1,948.0,4119.0,22600,1033.0
201901,59057,1,809.0,3166.0,17400,1028.0
201901,206908,1,992.0,2115.0,21500,1022.0
201901,199833,1,1.0,3709.0,9200,989.0
201901,212294,1,639.0,2662.0,10000,966.0
201901,1447,1,1.0,20919.0,30000,962.0
201901,11550,1,1199.0,4637.0,20800,960.0
201901,237790,1,1670.0,3744.0,7400,958.0
201901,148621,1,1215.0,6730.0,7700,946.0
201901,44338,1,1.0,5620.0,30900,933.0
201901,230635,1,970.0,2662.0,9300,930.0
201901,19618,1,1.0,1518.0,14000,925.0
201901,100549,1,1.0,4446.0,11100,920.0
201901,126447,1,2737.0,1325.0,14300,917.0
201901,218504,1,957.0,13726.0,9300,912.0
201901,124922,1,626.0,3007.0,6000,909.0
201901,9127,1,428.0,3820.0,17100,903.0
201901,76213,1,166.0,3180.0,11100,900.0
201901,123559,1,2127.0,4424.0,8800,897.0
201901,111641,1,272.0,3361.0,8400,887.0
201901,211837,1,1552.0,5842.0,11600,879.0
201901,56069,1,1.0,7342.0,18300,878.0
201901,157980,1,2086.0,6116.0,9100,862.0
201901,8623,1,769.0,1424.0,23600,862.0
201901,167401,1,734.0,10328.0,15000,858.0
201901,251776,1,701.0,5698.8,14200,854.0
201901,86479,1,2280.0,4927.0,9800,848.0
201901,106763,1,30490.0,51679.0,30000,843.0
201901,150853,1,1838.0,3630.0,9000,824.0
201901,139488,1,426.0,4391.0,8700,811.0
201901,125840,1,2361.0,6514.0,16200,805.0
201901,65012,1,581.0,2662.0,15600,804.0
201901,255122,1,2440.0,12918.6,14300,801.0
201901,17626,1,262.0,1811.0,1300,798.0
201901,11261,1,1725.0,5747.0,11400,794.0
201901,171691,1,1375.0,3245.0,14600,782.0
201901,251972,1,1820.0,7655.4,8500,781.0
201901,119860,1,1.0,4637.0,9200,771.0
201901,161123,1,1058.0,3786.0,7500,771.0
201901,7567,1,458.0,2295.0,6800,770.0
201901,142179,1,775.0,3477.0,13900,769.0
201901,167388,1,2245.0,2662.0,8500,765.0
201901,207843,1,926.0,3406.0,8500,762.0
201901,228511,1,1243.0,3083.0,6100,760.0
201901,161345,1,466.0,2115.0,19300,759.0
201901,178400,1,1.0,8134.0,10000,757.0
201901,157510,1,987.0,2662.0,10600,750.0
201901,217723,1,1283.0,4572.0,9100,749.0
201901,253062,1,1863.0,4258.8,7600,748.0
201901,65479,1,2073.0,4253.0,10600,746.0
201901,117200,1,1361.0,3945.0,17700,746.0
201901,193764,1,778.0,3361.0,6700,746.0
201901,144843,1,2529.0,4685.0,9300,736.0
201901,26439,1,980.0,4637.0,9200,734.0
201901,33018,1,1693.0,3744.0,7400,729.0
201901,87041,1,1186.0,7435.0,1600,726.0
201901,19264,1,1427.0,1918.0,6300,724.0
201901,171075,1,1254.0,1751.0,8200,710.0
201901,112698,1,1039.0,3597.0,3100,701.0
201901,39669,1,772.0,2042.0,7100,701.0
201901,114677,1,876.0,4093.0,10200,-5.0
201901,150879,1,627.0,3556.0,7100,-5.0
201901,219628,1,930.0,2662.0,5300,-5.0
201901,198621,1,595.0,4927.0,11500,-5.0
201901,141791,1,804.0,2115.0,7400,-5.0
201901,167203,1,1301.0,477.6,11500,-5.0
201901,153426,1,794.0,4392.0,8700,-5.0
201901,189149,1,1514.0,3744.0,9300,-5.0
201901,144319,1,942.0,3709.0,15400,-5.0
201901,194556,1,6611.0,17392.0,8600,-5.0
201901,59102,1,1546.0,5036.0,10000,-5.0
201901,57877,1,2237.0,2145.0,10300,-5.0
201901,252289,1,1389.0,5698.8,6300,-5.0
201901,241609,1,2213.0,4253.0,8500,-5.0
201901,171904,1,1.0,3007.0,11800,-5.0
201901,127270,1,1.0,4351.0,10800,-5.0
201901,150400,1,625.0,1722.5,14600,-5.0
201901,210534,1,1819.0,3709.0,9500,-5.0
201901,214168,1,951.0,3166.0,14200,-5.0
201901,110862,1,3053.0,5335.0,10600,-5.0
201901,222844,1,2149.0,1918.0,6300,-5.0
201901,75873,1,1723.0,3982.0,21900,-5.0
