CodMes;tcsera;TIPO;Geografia;Departamento;Cod_Entidad;Cod_Punto_Venta;Ingresos;Terminal;Color;Marca;Segmento_Equipo;Gama;Precio;Costo_Equipo;prom_llam_201908;prom_llam_201909;prom_llam_201910;prom_llam_201911;prom_llam_201912;Ventana;riesgo_neto_imei
201912;1;NO PVAE;LIMA;LIMA;214;1;74.690;BMOBILE TV280;BLANCO;BMOBILE;MULTIMEDIA;GAMA ULTRABAJA;78;70.63;0;0;0;0;0;15;1
201912;2;NO PVAE;PROVINCIAS;LAMBAYEQUE;625;1;79.241;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;;14.03;0;0;0;0;0;15;1
201912;3;NO PVAE;PROVINCIAS;LA LIBERTAD;3557;2;88.951;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;149;14.03;0;0;0;0;0;15;1
201912;4;NO PVAE;PROVINCIAS;ANCASH;5524;17;30.648;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;150;14.03;0;0;0;0;0;15;1
201912;5;NO PVAE;PROVINCIAS;ANCASH;5524;17;30.648;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;;14.03;0;0;0;0;0;15;1
201912;6;NO PVAE;PROVINCIAS;LORETO;3540;52;94.352;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;200;14.03;0;0;0;0;0;15;1
201912;7;NO PVAE;PROVINCIAS;LORETO;3540;52;94.352;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;149;14.03;0;0.4;0.2;0;0.4;15;1
201912;8;NO PVAE;LIMA;LIMA;4808;1;41.117;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;149;14.03;0;0;0;0;0;15;1
201912;9;NO PVAE;PROVINCIAS;LA LIBERTAD;3557;2;88.951;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;149;14.03;4.8;15.6;15.4;16.2;15.4;15;1
201912;10;NO PVAE;PROVINCIAS;ANCASH;5524;17;30.648;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;149;14.03;0;0;0;0;0;15;1
201912;11;NO PVAE;LIMA;LIMA;4805;3;41.117;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;149;14.03;0;0;0;0;0;15;1
201912;12;NO PVAE;PROVINCIAS;ICA;883;1;10.683;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;149;14.03;0.4;1.4;0.4;0;6.2;15;1
201912;13;NO PVAE;LIMA;LIMA;4805;1;41.117;BMOBILE AX675;NEGRO;BMOBILE;SMARTPHONE;GAMA BAJA;149;14.03;0;0;0;0;0;15;1
